user_id,user_name,email,account_type,gender,profile_photo,cover_photo,bio,password,joining_date,birth_date,followers,followings,favorited
1,koronba,koronba@gmail.com,artist,female,artist_default.jpg,cover2.jpg,I'm Koronba,$2b$10$RuwdwPShfWGWiJ2AS5sUg.ymf19khgizPsICg3wH.z1zC4LApEORK,2021-01-20 00:00:00,2003-09-20 00:00:00,3,1,0
2,abo_seraj,abo_seraj@gmail.com,artist,female,artist_default.jpg,cover6.jpg,I'm abo seraj,$2b$10$3V3AQDzor.7qHPRK2mbCae13cRvdIJhWOo/M0l10zbI6OdTngvvRS,2021-02-20 00:00:00,2004-01-01 00:00:00,3,2,0
3,fawzia,fawzia@gmail.com,artist,female,artist_default.jpg,cover3.jpg,I'm Fawzia,$2b$10$Qq1wYRsL8KmaRgwiy5oS7OXEH18r3Xz3jSilamuvxG4Mdy2wyUC/e,2021-03-20 00:00:00,2003-04-20 00:00:00,3,1,0
4,shawkya,shawkya@gmail.com,artist,female,artist_default.jpg,cover4.jpg,I'm Shawkya,$2b$10$IGnQKvvAETie1hwAA3vam.eVDbIgYLQksS/6SWWixeUqtcYTGyGVC,2021-04-20 00:00:00,2003-03-20 00:00:00,3,2,0
5,teko,teko@gmail.com,artist,female,artist_default.jpg,cover1.jpg,I'm Teko,$2b$10$TteJc0BUw6uOlpYq9NKxbuPQTlzOOXlBJw3XoqI4GB4O3yk3UYmVK,2021-05-20 00:00:00,2002-08-20 00:00:00,3,1,0
6,sando,sando@gmail.com,artist,female,artist_default.jpg,cover5.jpg,I'm Sando,$2b$10$as9aEyRQYDTfhtsBYMtJrugjlq5QooxwcRt8BZupSGw9P99fQzELC,2021-06-20 00:00:00,2003-11-10 00:00:00,3,2,0
7,shokrya,shokrya@gmail.com,artist,female,artist_default.jpg,cover_default.jpg,I'm Shokrya,$2b$10$3b084Hr3oFwleWbqBXSL/u28XpQY7toqVOl/wnvrKpM6hOCznJFFS,2021-05-30 00:00:00,NULL,3,1,0
8,nefisa,nefisa@gmail.com,artist,female,artist_default.jpg,cover_default.jpg,I'm Nefisa Nafosa,$2b$10$iYG01FPwA8QjJSEWPnQM0uo30CpIC6RC.oXKJu4IjA6pxwhFT9ahe,2021-05-30 00:00:00,NULL,3,2,0
9,bora3y,bora3y@gmail.com,artist,male,artist_default.jpg,cover_default.jpg,I'm Bora3y,$2b$10$DS8vPgVn33TJAgTyV1zPsOXyspB3JxxUzwWOcZIQ94Zvzwjkq/hKW,2021-05-30 00:00:00,2003-05-30 00:00:00,3,1,0
10,samara,smara@gmail.com,artist,female,artist_default.jpg,cover_default.jpg,I'm Samara Samora,$2b$10$NgukMa3VOCEuPGLRFCMubeEAP8Z30gz2XWGWxxrAITqipRmZRB73S,2021-05-30 00:00:00,2000-12-03 00:00:00,3,2,0
